year,index,date,N1,N2,N3,N4,N5,N6,S1,color,zodiac,EvO,BS
2006,88,2006-07-25,34,16,10,38,41,23,5,green,horse,odd,small
2006,89,2006-07-27,47,1,43,19,31,21,18,red,snake,even,small
2006,90,2006-07-29,2,29,35,34,23,37,41,blue,horse,odd,big
2006,91,2006-08-01,7,10,46,34,20,30,19,red,dragon,odd,small
2006,92,2006-08-03,45,10,9,19,16,32,18,red,snake,even,small
2006,93,2006-08-05,14,16,1,45,11,8,41,blue,horse,odd,big
2006,94,2006-08-08,20,10,24,32,49,28,9,blue,tiger,odd,small
2006,95,2006-08-10,12,18,15,35,23,38,33,green,tiger,odd,big
2006,96,2006-08-12,18,28,26,2,43,13,41,blue,horse,odd,big
2006,97,2006-08-15,30,47,18,8,21,23,10,blue,ox,even,small
2006,98,2006-08-17,37,27,17,38,10,19,26,blue,rooster,even,big
2006,99,2006-08-19,27,43,3,45,25,28,42,blue,snake,even,big
2006,100,2006-08-22,49,48,8,18,22,34,33,green,tiger,odd,big
2006,101,2006-08-24,40,45,21,14,3,11,8,red,rabbit,even,small
2006,102,2006-08-26,27,31,43,29,39,36,23,red,rat,odd,small
2006,103,2006-08-29,49,40,37,48,34,14,30,red,snake,even,big
2006,104,2006-08-31,46,26,45,30,4,35,20,blue,rabbit,even,small
2006,105,2006-09-02,48,46,34,17,16,3,41,blue,horse,odd,big
2006,106,2006-09-05,22,8,48,4,14,41,39,green,monkey,odd,big
2006,107,2006-09-07,8,15,25,33,48,5,11,green,rat,odd,small
2006,108,2006-09-09,8,25,14,23,17,12,10,blue,ox,even,small
2006,109,2006-09-12,41,2,40,32,45,43,30,red,snake,even,big
2006,110,2006-09-14,27,26,12,28,32,46,47,blue,rat,odd,big
2006,111,2006-09-17,5,22,41,14,20,11,33,green,tiger,odd,big
2006,112,2006-09-19,22,3,25,11,27,33,21,green,tiger,odd,small
2006,113,2006-09-21,48,40,1,33,22,43,35,red,rat,odd,big
2006,114,2006-09-23,37,40,13,3,20,34,11,green,rat,odd,small
2006,115,2006-09-26,32,15,18,43,7,9,8,red,rabbit,even,small
2006,116,2006-09-28,5,15,22,30,49,42,37,blue,dog,odd,big
2006,117,2006-09-30,1,12,23,11,4,2,6,green,snake,even,small
2006,118,2006-10-03,5,35,9,45,1,19,30,red,snake,even,big
2006,119,2006-10-05,9,32,16,42,35,5,4,blue,goat,even,small
2006,120,2006-10-08,28,22,4,1,17,27,15,blue,monkey,odd,small
2006,121,2006-10-10,6,47,8,40,22,39,17,green,horse,odd,small
2006,122,2006-10-12,22,9,10,26,38,5,39,green,monkey,odd,big
2006,123,2006-10-14,49,16,41,3,36,20,45,red,tiger,odd,big
2006,124,2006-10-17,5,33,36,22,40,29,32,green,rabbit,even,big
2006,125,2006-10-19,11,29,44,15,9,35,18,red,snake,even,small
2006,126,2006-10-22,26,42,3,24,18,43,16,green,goat,even,small
2006,127,2006-10-24,28,48,30,29,12,44,34,red,ox,even,big
2006,128,2006-10-26,17,13,5,41,8,26,22,green,ox,even,small
2006,129,2006-10-28,28,44,33,42,7,35,41,blue,horse,odd,big
2006,130,2006-10-31,44,6,1,35,28,13,30,red,snake,even,big
2006,131,2006-11-02,39,5,28,7,35,36,31,blue,dragon,odd,big
2006,132,2006-11-05,45,38,11,42,41,22,20,blue,rabbit,even,small
2006,133,2006-11-09,21,38,36,2,34,22,45,red,tiger,odd,big
2006,134,2006-11-11,13,48,10,31,18,21,17,green,horse,odd,small
2006,135,2006-11-14,8,36,20,49,14,34,46,red,ox,even,big
2006,136,2006-11-16,44,35,10,32,3,12,41,blue,horse,odd,big
2006,137,2006-11-18,14,10,40,49,34,11,43,green,dragon,odd,big
2006,138,2006-11-21,35,3,26,7,31,16,18,red,snake,even,small
2006,139,2006-11-23,6,19,41,32,49,10,5,green,horse,odd,small
2006,140,2006-11-25,35,36,7,18,30,49,29,red,horse,odd,big
2006,141,2006-11-28,23,36,21,35,6,10,8,red,rabbit,even,small
2006,142,2006-11-30,9,27,31,35,8,5,15,blue,monkey,odd,small
2006,143,2006-12-03,32,25,22,10,44,34,30,red,snake,even,big
2006,144,2006-12-05,20,45,46,21,41,38,14,blue,rooster,even,small
